repo,label,query,expected,search_mode,embedding_status,latency_ms,result_count,source_counts,rank,reciprocal_rank,hit_at_5,hit_at_20,ndcg_at_20
dagayn,exact_name,hybrid_search,dagayn/search.py::hybrid_search,empty,missing_vectors,19.023,0,{},0,0.0,0,0,0.0
dagayn,exact_name,rebuild_fts_index,dagayn/search.py::rebuild_fts_index,empty,missing_vectors,0.395,0,{},0,0.0,0,0,0.0
dagayn,exact_name,rrf_merge,dagayn/search.py::rrf_merge,empty,missing_vectors,0.285,0,{},0,0.0,0,0,0.0
dagayn,exact_name,full_build,dagayn/incremental.py::full_build,empty,missing_vectors,0.273,0,{},0,0.0,0,0,0.0
dagayn,exact_name,detect_query_kind_boost,dagayn/search.py::detect_query_kind_boost,empty,missing_vectors,0.394,0,{},0,0.0,0,0,0.0
dagayn,pascal_case_class,GraphStore,dagayn/graph/core.py::GraphStore,empty,missing_vectors,0.302,0,{},0,0.0,0,0,0.0
dagayn,pascal_case_class,EmbeddingProvider,dagayn/embeddings.py::EmbeddingProvider,empty,missing_vectors,0.276,0,{},0,0.0,0,0,0.0
dagayn,pascal_case_class,LocalEmbeddingProvider,dagayn/embeddings.py::LocalEmbeddingProvider,empty,missing_vectors,0.273,0,{},0,0.0,0,0,0.0
dagayn,conceptual,reciprocal rank fusion,dagayn/search.py::rrf_merge,empty,missing_vectors,0.308,0,{},0,0.0,0,0,0.0
dagayn,conceptual,sentence transformers local model,dagayn/embeddings.py::LocalEmbeddingProvider,empty,missing_vectors,0.323,0,{},0,0.0,0,0,0.0
dagayn,conceptual,kind boost detection query,dagayn/search.py::detect_query_kind_boost,empty,missing_vectors,0.281,0,{},0,0.0,0,0,0.0
dagayn,conceptual,incremental graph construction,dagayn/incremental.py::full_build,empty,missing_vectors,0.27,0,{},0,0.0,0,0,0.0
